year	pid	org_n	ims_org_id
2011	000544272	1	INS00606001
2011	000546867	3	INS00002428
2011	000546867	3	INS00007982
2011	000546867	3	INS00108670
2011	000547864	1	INS00002378
2011	000548370	2	INS00002397
2011	000548370	2	INS00005305
2011	000550091	2	INS00002454
2011	000550091	2	INS00079853
2011	000550108	2	INS00001120
2011	000550108	2	INS00119242
2011	000550206	1	INS00005628
2011	000550233	1	INS00500678
2011	000550752	2	INS00006572
2011	000550752	2	INS00464467
2011	000550850	1	INS00494075
2011	000551310	2	INS00005062
2011	000551310	2	INS00111348
2011	000551320	1	INS00074018
2011	000552309	1	INS00002480
2011	000552318	1	INS00165852
2011	000552425	2	INS00365703
2011	000552425	2	INS00591737
2011	000552452	1	INS00000725
2011	000552640	1	INS00119242
2011	000552953	1	INS00000725
2011	000553039	1	INS00011167
2011	000553173	1	INS00106723
2011	000553262	2	INS00622716
2011	000553262	2	INS00626739
2011	000553629	1	INS00006251
2011	000554054	1	INS00107130
2011	000554116	2	INS00002415
2011	000554116	2	INS00367435
2011	000554439	1	INS00366686
2011	000554949	2	INS00006909
2011	000554949	2	INS00367420
2011	000555623	2	INS00011171
2011	000555623	2	INS00464448
2011	000556362	3	INS00002578
2011	000556362	3	INS00006582
2011	000556362	3	INS00179798
2011	000556442	1	INS00403948
2011	000556685	4	INS00002397
2011	000556685	4	INS00366655
2011	000556685	4	INS00366657
2011	000556685	4	INS00458208
2011	000556863	2	INS00005062
2011	000556863	2	INS00006265
2011	000557225	2	INS00006433
2011	000557225	2	INS00112810
2011	000557314	2	INS00002384
2011	000557314	2	INS00175926
2011	000571233	3	INS00002476
2011	000571233	3	INS00113490
2011	000571233	3	INS00403923
2011	000585794	5	INS00002440
2011	000585794	5	INS00002460
2011	000585794	5	INS00116450
2011	000585794	5	INS00407489
2011	000585794	5	INS00618706
2011	000586862	1	INS00087013
2011	000588061	1	INS00002473
2011	000588590	2	INS00002397
2011	000588590	2	INS00005305
2011	000589318	1	INS00539753
2011	000589701	4	INS00002428
2011	000589701	4	INS00034545
2011	000589701	4	INS00108670
2011	000589701	4	INS00261082
2011	000590220	1	INS00448194
2011	000596457	1	INS00114749
2011	000597893	1	INS00611029
2011	000601673	4	INS00005066
2011	000601673	4	INS00006572
2011	000601673	4	INS00006888
2011	000601673	4	INS00488908
2011	000602803	2	INS00002416
2011	000602803	2	INS00005984
2011	000604281	2	INS00002415
2011	000604281	2	INS00006909
2011	000604595	2	INS00005067
2011	000604595	2	INS00554316
2011	000608066	1	INS00002416
2011	000608502	1	INS00119242
2011	000609500	1	INS00002427
2011	000611633	1	INS00103874
2011	000616021	1	INS00616958
2011	000623367	2	INS00005062
2011	000623367	2	INS00074018
2011	000623760	1	INS00464403
2011	000624257	6	INS00002377
2011	000624257	6	INS00002415
2011	000624257	6	INS00002464
2011	000624257	6	INS00005625
2011	000624257	6	INS00409656
2011	000624257	6	INS00593893
2011	000624373	2	INS00002491
2011	000624373	2	INS00435514
2011	000627160	1	INS00005069
2011	000632722	3	INS00005062
2011	000632722	3	INS00006265
2011	000632722	3	INS00174856
2011	000650598	3	INS00000719
2011	000650598	3	INS00005866
2011	000650598	3	INS00182991
2011	000650936	3	INS00000519
2011	000650936	3	INS00079694
2011	000650936	3	INS00119534
2011	000651890	2	INS00001138
2011	000651890	2	INS00114097
2011	000651942	1	INS00005072
2011	000652897	2	INS00002388
2011	000652897	2	INS00002457
2011	000660988	4	INS00006576
2011	000660988	4	INS00006824
2011	000660988	4	INS00006825
2011	000660988	4	INS00074152
2011	000661751	13	INS00005062
2011	000661751	13	INS00005068
2011	000661751	13	INS00005069
2011	000661751	13	INS00005073
2011	000661751	13	INS00006265
2011	000661751	13	INS00006568
2011	000661751	13	INS00006569
2011	000661751	13	INS00006571
2011	000661751	13	INS00067018
2011	000661751	13	INS00079760
2011	000661751	13	INS00079839
2011	000661751	13	INS00110415
2011	000661751	13	INS00112797
2011	000664520	3	INS00002476
2011	000664520	3	INS00005866
2011	000664520	3	INS00113490
2011	000668799	2	INS00011171
2011	000668799	2	INS00464448
2011	000671622	2	INS00002448
2011	000671622	2	INS00164731
2011	000679246	3	INS00002452
2011	000679246	3	INS00034560
2011	000679246	3	INS00368637
2011	000680111	1	INS00006909
2011	000702460	3	INS00002443
2011	000702460	3	INS00006575
2011	000702460	3	INS00119242
2011	000702522	1	INS00119242
2011	000702649	1	INS00119242
2011	000704572	2	INS00002452
2011	000704572	2	INS00048263
2011	000704984	3	INS00002388
2011	000704984	3	INS00005062
2011	000704984	3	INS00572275
2011	000711970	2	INS00006909
2011	000711970	2	INS00367420
2011	000719341	5	INS00029268
2011	000719341	5	INS00111351
2011	000719341	5	INS00114954
2011	000719341	5	INS00408952
2011	000719341	5	INS00584288
2011	000719717	2	INS00006251
2011	000719717	2	INS00114380
2011	000722140	1	INS00366872
2011	000727728	3	INS00002379
2011	000727728	3	INS00026164
2011	000727728	3	INS00088241
2011	000732639	2	INS00006825
2011	000732639	2	INS00006827
2011	000736674	6	INS00005063
2011	000736674	6	INS00005064
2011	000736674	6	INS00005072
2011	000736674	6	INS00005073
2011	000736674	6	INS00113493
2011	000736674	6	INS00114749
2011	000741253	1	INS00276901
2011	000742798	1	INS00626742
2011	000742822	1	INS00478584
2011	000746616	1	INS00001555
2011	000749135	3	INS00001105
2011	000749135	3	INS00001111
2011	000749135	3	INS00061823
2011	000751429	2	INS00005062
2011	000751429	2	INS00074018
2011	000753782	4	INS00002440
2011	000753782	4	INS00002501
2011	000753782	4	INS00006197
2011	000753782	4	INS00057471
2011	000769209	3	INS00005624
2011	000769209	3	INS00494075
2011	000769209	3	INS00544271
2011	000774110	1	INS00002474
2011	000776731	1	INS00561433
2011	000777111	6	INS00002417
2011	000777111	6	INS00002428
2011	000777111	6	INS00006086
2011	000777111	6	INS00045551
2011	000777111	6	INS00068450
2011	000777111	6	INS00108670
2011	000778656	1	INS00005062
2011	000783960	1	INS00006568
2011	000783979	2	INS00005136
2011	000783979	2	INS00006909
2011	000794159	2	INS00006262
2011	000794159	2	INS00006909
2011	000794186	1	INS00006909
2011	000805065	5	INS00002428
2011	000805065	5	INS00005624
2011	000805065	5	INS00089793
2011	000805065	5	INS00108670
2011	000805065	5	INS00494075
2011	000813263	3	INS00002428
2011	000813263	3	INS00005628
2011	000813263	3	INS00261082
2011	000813890	2	INS00162033
2011	000813890	2	INS00604884
2011	000834512	2	INS00002419
2011	000834512	2	INS00500654
2011	000835144	3	INS00079845
2011	000835144	3	INS00138968
2011	000835144	3	INS00555418
2011	000836670	2	INS00006749
2011	000836670	2	INS00551213
2011	000841787	2	INS00005071
2011	000841787	2	INS00113482
2011	000844036	1	INS00123486
2011	000848008	8	INS00002384
2011	000848008	8	INS00005625
2011	000848008	8	INS00005626
2011	000848008	8	INS00044075
2011	000848008	8	INS00073586
2011	000848008	8	INS00079678
2011	000848008	8	INS00409656
2011	000848008	8	INS00593893
2011	000850445	3	INS00002382
2011	000850445	3	INS00079689
2011	000850445	3	INS00454516
2011	000851845	4	INS00002428
2011	000851845	4	INS00002481
2011	000851845	4	INS00108670
2011	000851845	4	INS00114089
2011	000851934	2	INS00079689
2011	000851934	2	INS00394452
2011	000855933	4	INS00006824
2011	000855933	4	INS00037005
2011	000855933	4	INS00040461
2011	000855933	4	INS00079875
2011	000859066	1	INS00607446
2011	000859075	2	INS00011171
2011	000859075	2	INS00464448
2011	000861449	2	INS00005062
2011	000861449	2	INS00074018
2011	000861654	6	INS00006573
2011	000861654	6	INS00006576
2011	000861654	6	INS00006825
2011	000861654	6	INS00006827
2011	000861654	6	INS00102942
2011	000861654	6	INS00138558
2011	000863434	2	INS00001742
2011	000863434	2	INS00002407
2011	000868978	2	INS00002486
2011	000868978	2	INS00165852
2011	000870250	4	INS00002440
2011	000870250	4	INS00002460
2011	000870250	4	INS00006197
2011	000870250	4	INS00063235
2011	000870330	2	INS00006825
2011	000870330	2	INS00006827
2011	000870359	2	INS00006824
2011	000870359	2	INS00074152
2011	000871015	1	INS00002407
2011	000872756	1	INS00085202
2011	000872827	1	INS00539755
2011	000873969	5	INS00006433
2011	000873969	5	INS00083226
2011	000873969	5	INS00112810
2011	000873969	5	INS00172228
2011	000873969	5	INS00345084
2011	000885182	1	INS00002103
2011	000885280	4	INS00002476
2011	000885280	4	INS00002481
2011	000885280	4	INS00113490
2011	000885280	4	INS00114089
2011	000894682	1	INS00006251
2011	000904359	3	INS00005858
2011	000904359	3	INS00079709
2011	000904359	3	INS00276812
2011	000904789	3	INS00006096
2011	000904789	3	INS00014153
2011	000904789	3	INS00112833
2011	000907996	1	INS00002448
2011	000913053	6	INS00002413
2011	000913053	6	INS00005134
2011	000913053	6	INS00034576
2011	000913053	6	INS00079776
2011	000913053	6	INS00114723
2011	000913053	6	INS00260632
2011	000915352	3	INS00005072
2011	000915352	3	INS00073420
2011	000915352	3	INS00109886
2011	000920568	1	INS00160406
2011	000925537	3	INS00006253
2011	000925537	3	INS00367439
2011	000925537	3	INS00495779
2011	000929509	2	INS00002454
2011	000929509	2	INS00366689
2011	000930902	1	INS00005069
2011	000930949	2	INS00005067
2011	000930949	2	INS00132209
2011	000939659	2	INS00002428
2011	000939659	2	INS00261082
2011	000941791	6	INS00001659
2011	000941791	6	INS00002439
2011	000941791	6	INS00002493
2011	000941791	6	INS00108668
2011	000941791	6	INS00412158
2011	000941791	6	INS00615587
2011	000943114	6	INS00002578
2011	000943114	6	INS00006582
2011	000943114	6	INS00113480
2011	000943114	6	INS00179798
2011	000943114	6	INS00457152
2011	000943114	6	INS00584345
2011	000946813	2	INS00001140
2011	000946813	2	INS00089843
2011	000949047	2	INS00002428
2011	000949047	2	INS00108670
2011	000949056	1	INS00002416
2011	000951279	3	INS00002436
2011	000951279	3	INS00112799
2011	000951279	3	INS00625194
2011	000952570	1	INS00451695
2011	000955250	1	INS00002448
2011	000955984	3	INS00011167
2011	000955984	3	INS00011171
2011	000955984	3	INS00074161
2011	000957497	2	INS00001742
2011	000957497	2	INS00002407
2011	000957844	1	INS00005628
2011	000958888	2	INS00005071
2011	000958888	2	INS00113482
2011	000959348	2	INS00002444
2011	000959348	2	INS00074159
2011	000961874	1	INS00002404
2011	000963654	1	INS00001600
2011	000965416	2	INS00002439
2011	000965416	2	INS00138283
2011	000965505	1	INS00074117
2011	000965597	5	INS00006582
2011	000965597	5	INS00079880
2011	000965597	5	INS00113480
2011	000965597	5	INS00457152
2011	000965597	5	INS00597767
2011	000965748	2	INS00079689
2011	000965748	2	INS00394452
