year	pid	org_n	ims_org_id
2010	000544272	1	INS00606001
2010	000546867	3	INS00002428
2010	000546867	3	INS00007982
2010	000546867	3	INS00108670
2010	000547701	3	INS00002397
2010	000547701	3	INS00112777
2010	000547701	3	INS00264757
2010	000547864	2	INS00002378
2010	000547864	2	INS00276935
2010	000548370	2	INS00002397
2010	000548370	2	INS00005305
2010	000550091	2	INS00002454
2010	000550091	2	INS00079853
2010	000550108	1	INS00119242
2010	000550206	1	INS00005628
2010	000550233	3	INS00005072
2010	000550233	3	INS00073420
2010	000550233	3	INS00500678
2010	000550752	2	INS00005066
2010	000550752	2	INS00006572
2010	000550850	1	INS00494075
2010	000551310	2	INS00005062
2010	000551310	2	INS00111348
2010	000551320	1	INS00074018
2010	000552309	1	INS00002480
2010	000552318	2	INS00002493
2010	000552318	2	INS00165852
2010	000552425	2	INS00365703
2010	000552425	2	INS00591737
2010	000552452	2	INS00000725
2010	000552452	2	INS00113481
2010	000552953	2	INS00000725
2010	000552953	2	INS00113481
2010	000553039	4	INS00011167
2010	000553039	4	INS00034529
2010	000553039	4	INS00040180
2010	000553039	4	INS00499820
2010	000553173	1	INS00107130
2010	000553549	2	INS00005305
2010	000553549	2	INS00014338
2010	000553629	6	INS00006025
2010	000553629	6	INS00006251
2010	000553629	6	INS00006568
2010	000553629	6	INS00006569
2010	000553629	6	INS00006571
2010	000553629	6	INS00492035
2010	000554054	1	INS00107130
2010	000554116	2	INS00002415
2010	000554116	2	INS00367435
2010	000554949	2	INS00006909
2010	000554949	2	INS00367420
2010	000555070	1	INS00528541
2010	000555623	1	INS00011171
2010	000556175	2	INS00005628
2010	000556175	2	INS00494075
2010	000556362	2	INS00002578
2010	000556362	2	INS00179798
2010	000556442	1	INS00403948
2010	000556685	4	INS00002397
2010	000556685	4	INS00366655
2010	000556685	4	INS00366657
2010	000556685	4	INS00458208
2010	000556863	2	INS00005062
2010	000556863	2	INS00006265
2010	000557225	2	INS00006433
2010	000557225	2	INS00112810
2010	000557314	2	INS00002384
2010	000557314	2	INS00175926
2010	000571233	3	INS00002476
2010	000571233	3	INS00113490
2010	000571233	3	INS00403923
2010	000585794	3	INS00002440
2010	000585794	3	INS00002460
2010	000585794	3	INS00116450
2010	000586862	1	INS00087013
2010	000588061	1	INS00002473
2010	000588590	2	INS00002397
2010	000588590	2	INS00005305
2010	000589318	1	INS00539753
2010	000589701	4	INS00002428
2010	000589701	4	INS00034545
2010	000589701	4	INS00034546
2010	000589701	4	INS00108670
2010	000590220	1	INS00448194
2010	000601673	4	INS00005066
2010	000601673	4	INS00006572
2010	000601673	4	INS00006888
2010	000601673	4	INS00488908
2010	000602803	3	INS00002416
2010	000602803	3	INS00005984
2010	000602803	3	INS00114101
2010	000604281	2	INS00002415
2010	000604281	2	INS00006909
2010	000604595	2	INS00005067
2010	000604595	2	INS00554316
2010	000608066	1	INS00002416
2010	000608502	1	INS00119242
2010	000609500	1	INS00002427
2010	000611633	1	INS00103874
2010	000618204	1	INS00403832
2010	000623367	2	INS00005062
2010	000623367	2	INS00074018
2010	000623760	1	INS00464403
2010	000624257	6	INS00002377
2010	000624257	6	INS00002415
2010	000624257	6	INS00005625
2010	000624257	6	INS00367435
2010	000624257	6	INS00409656
2010	000624257	6	INS00593893
2010	000624373	2	INS00002491
2010	000624373	2	INS00435514
2010	000627160	1	INS00005069
2010	000645838	3	INS00006433
2010	000645838	3	INS00066270
2010	000645838	3	INS00112810
2010	000650598	3	INS00000719
2010	000650598	3	INS00005866
2010	000650598	3	INS00182991
2010	000650936	2	INS00000519
2010	000650936	2	INS00079694
2010	000651890	2	INS00001138
2010	000651890	2	INS00114097
2010	000651942	1	INS00005072
2010	000660914	2	INS00006827
2010	000660914	2	INS00456861
2010	000660988	4	INS00006576
2010	000660988	4	INS00006824
2010	000660988	4	INS00074152
2010	000660988	4	INS00456861
2010	000661751	15	INS00005062
2010	000661751	15	INS00005068
2010	000661751	15	INS00005069
2010	000661751	15	INS00005073
2010	000661751	15	INS00006265
2010	000661751	15	INS00006568
2010	000661751	15	INS00006569
2010	000661751	15	INS00006571
2010	000661751	15	INS00060768
2010	000661751	15	INS00063809
2010	000661751	15	INS00067018
2010	000661751	15	INS00079760
2010	000661751	15	INS00079839
2010	000661751	15	INS00110415
2010	000661751	15	INS00112797
2010	000664520	3	INS00002476
2010	000664520	3	INS00005866
2010	000664520	3	INS00113490
2010	000668799	1	INS00011171
2010	000671622	2	INS00002448
2010	000671622	2	INS00164731
2010	000679246	3	INS00002452
2010	000679246	3	INS00034560
2010	000679246	3	INS00368637
2010	000680111	1	INS00006909
2010	000685388	5	INS00002428
2010	000685388	5	INS00005628
2010	000685388	5	INS00005631
2010	000685388	5	INS00024746
2010	000685388	5	INS00108670
2010	000701463	1	INS00006824
2010	000702460	2	INS00006575
2010	000702460	2	INS00119242
2010	000702522	1	INS00119242
2010	000702649	1	INS00119242
2010	000704572	2	INS00002452
2010	000704572	2	INS00048263
2010	000704984	3	INS00002388
2010	000704984	3	INS00005062
2010	000704984	3	INS00572275
2010	000711970	2	INS00006909
2010	000711970	2	INS00367420
2010	000719341	5	INS00029268
2010	000719341	5	INS00111351
2010	000719341	5	INS00114954
2010	000719341	5	INS00408952
2010	000719341	5	INS00584288
2010	000719717	2	INS00006251
2010	000719717	2	INS00114380
2010	000722140	1	INS00366872
2010	000727728	3	INS00002379
2010	000727728	3	INS00026164
2010	000727728	3	INS00088241
2010	000732639	1	INS00006827
2010	000739676	2	INS00005624
2010	000739676	2	INS00494075
2010	000741253	1	INS00276901
2010	000742822	2	INS00006096
2010	000742822	2	INS00478584
2010	000744086	2	INS00006829
2010	000744086	2	INS00165487
2010	000746616	3	INS00001555
2010	000746616	3	INS00034536
2010	000746616	3	INS00079699
2010	000749135	3	INS00001105
2010	000749135	3	INS00001111
2010	000749135	3	INS00061823
2010	000751429	2	INS00005062
2010	000751429	2	INS00074018
2010	000772732	3	INS00005062
2010	000772732	3	INS00006265
2010	000772732	3	INS00103874
2010	000774110	1	INS00002474
2010	000776731	1	INS00561433
2010	000777111	6	INS00002417
2010	000777111	6	INS00002428
2010	000777111	6	INS00006086
2010	000777111	6	INS00045551
2010	000777111	6	INS00068450
2010	000777111	6	INS00108670
2010	000778656	2	INS00005062
2010	000778656	2	INS00111348
2010	000783960	4	INS00006568
2010	000783960	4	INS00006569
2010	000783960	4	INS00006571
2010	000783960	4	INS00455440
2010	000783979	1	INS00005136
2010	000794159	2	INS00006262
2010	000794159	2	INS00006909
2010	000794186	1	INS00006909
2010	000805065	6	INS00002428
2010	000805065	6	INS00005624
2010	000805065	6	INS00007982
2010	000805065	6	INS00089793
2010	000805065	6	INS00108670
2010	000805065	6	INS00494075
2010	000806142	6	INS00002384
2010	000806142	6	INS00005625
2010	000806142	6	INS00005626
2010	000806142	6	INS00073586
2010	000806142	6	INS00409656
2010	000806142	6	INS00593893
2010	000808209	1	INS00073989
2010	000813263	1	INS00005628
2010	000813890	2	INS00162033
2010	000813890	2	INS00604884
2010	000824740	2	INS00064197
2010	000824740	2	INS00165852
2010	000834450	1	INS00575524
2010	000834512	2	INS00002419
2010	000834512	2	INS00500654
2010	000835144	1	INS00138968
2010	000836670	6	INS00006568
2010	000836670	6	INS00006569
2010	000836670	6	INS00006571
2010	000836670	6	INS00006749
2010	000836670	6	INS00455440
2010	000836670	6	INS00551213
2010	000839635	2	INS00006252
2010	000839635	2	INS00170971
2010	000841787	2	INS00005071
2010	000841787	2	INS00113482
2010	000844036	1	INS00123486
2010	000848008	8	INS00002384
2010	000848008	8	INS00005625
2010	000848008	8	INS00005626
2010	000848008	8	INS00044075
2010	000848008	8	INS00073586
2010	000848008	8	INS00079678
2010	000848008	8	INS00409656
2010	000848008	8	INS00593893
2010	000850445	4	INS00002382
2010	000850445	4	INS00079689
